category,product_url
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/oxnoe-lindoeja-offset-patio-umbrella-with-base-blue-svartoe-dark-gray-s29291466/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/ramsoe-patio-umbrella-turquoise-light-beige-00389543/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/samsoe-patio-umbrella-with-base-beige-grytoe-dark-gray-s29219324/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/betsoe-lindoeja-patio-umbrella-gray-wood-effect-dark-blue-s99324755/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/samsoe-patio-umbrella-tilting-beige-50311815/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/flisoe-patio-umbrella-black-60260250/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/hoegoen-offset-patio-umbrella-white-00445351/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/bramsoen-umbrella-base-black-90265760/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/solig-net-white-10148157/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/betsoe-varholmen-patio-umbrella-with-base-brown-wood-effect-beige-huvoen-s39320562/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/huvoen-umbrella-base-gray-50457105/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/hoegoen-patio-umbrella-with-base-white-huvoen-dark-gray-s39324616/
Outdoor umbrella & gazebos,https://www.ikea.com/ca/en/p/tosteroe-umbrella-cover-black-00324561/
Box Springs - Queen| Full| King & Twin Mattress Bases,https://www.ikea.com/ca/en/p/eidfjord-slatted-mattress-base-white-s99183717/
Box Springs - Queen| Full| King & Twin Mattress Bases,https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-for-bed-frame-white-s49156603/
Box Springs - Queen| Full| King & Twin Mattress Bases,https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-with-legs-dark-gray-s89207912/
Box Springs - Queen| Full| King & Twin Mattress Bases,https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-for-bed-frame-natural-s49234583/
Box Springs - Queen| Full| King & Twin Mattress Bases,https://www.ikea.com/ca/en/p/espevaer-slatted-mattress-base-with-legs-white-s49207914/
Box Springs - Queen| Full| King & Twin Mattress Bases,https://www.ikea.com/ca/en/p/espevaer-divan-bed-mausund-medium-firm-natural-s89228392/
